instance, time, obj, bounds, iter23, iter24, chemin
250_USA-road-d.NY.gr,25.799967050552368,37057.409999999996,37057.409999999996,0,1,33/ 62/ 71/ 75/ 108/ 117/ 140/ 147/ 182/ 199/ 204/ 211/ 239/ 240
850_USA-road-d.BAY.gr,433.7120509147644,42201.06,42201.06,2,7,336/ 363/ 424/ 454/ 488/ 516/ 559/ 628/ 656/ 659/ 698/ 716/ 720/ 786/ 816/ 848
1900_USA-road-d.COL.gr,233.76374101638794,42505.7,42505.7,0,1,88/ 178/ 213/ 362/ 409/ 518/ 899/ 966/ 1001/ 1053/ 1510/ 1528/ 1534/ 1674/ 1679
300_USA-road-d.BAY.gr,75.99204802513123,21954.18,21954.18,0,2,84/ 92/ 127/ 186/ 194/ 199/ 224/ 269/ 284/ 289/ 290
1400_USA-road-d.NY.gr,218.98601484298706,67883.94,67883.94,10,3,108/ 507/ 578/ 617/ 640/ 697/ 722/ 758/ 856/ 866/ 875/ 910/ 1044/ 1054/ 1070/ 1117/ 1144/ 1171/ 1220/ 1223/ 1235/ 1270/ 1271/ 1296
140_USA-road-d.BAY.gr,59.31923007965088,15643.660000000002,15643.660000000002,2,2,48/ 58/ 63/ 99/ 104/ 105/ 116/ 130/ 136
850_USA-road-d.COL.gr,152.82997798919678,29672.760000000002,29672.760000000002,0,3,65/ 117/ 169/ 213/ 295/ 298/ 371/ 386/ 407/ 613/ 618/ 666/ 710/ 713
140_USA-road-d.COL.gr,93.76905107498169,24651.02,24651.02,2,4,60/ 83/ 92/ 97/ 108/ 116/ 117/ 126/ 127/ 129/ 138
140_USA-road-d.NY.gr,7.952532052993774,33079.159999999996,33079.159999999996,2,5,11/ 12/ 31/ 55/ 59/ 60/ 98/ 108/ 120/ 122/ 134/ 140
1900_USA-road-d.NY.gr,113.66416001319885,69098.25,69098.25,2,2,326/ 396/ 617/ 855/ 906/ 916/ 1044/ 1070/ 1133/ 1171/ 1176/ 1190/ 1237/ 1240/ 1390/ 1463/ 1547/ 1683/ 1724/ 1756/ 1772/ 1785/ 1826/ 1850
850_USA-road-d.NY.gr,155.62142300605774,43329.05,43329.05,0,4,33/ 108/ 309/ 321/ 324/ 325/ 348/ 360/ 385/ 399/ 539/ 576/ 577/ 596/ 621/ 646/ 651/ 773/ 790/ 822
300_USA-road-d.COL.gr,374.30737113952637,34605.270000000004,34605.270000000004,0,11,12/ 46/ 65/ 83/ 113/ 134/ 161/ 169/ 183/ 189/ 192/ 239/ 260/ 269
